asho,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,"City, State",Marker,lat,lon
39,Passport Magazine,http://Passport-mag.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/PASSPORTMag,@PASSPORTmag,https://twitter.com/PASSPORTmag,,Q,W,JRC,"Litchfield, CT",,41.807289,-73.126064
67,Advisor and Source Newspapers,http://Sourcenewspapers.com,"48075 Van Dyke, Shelby Twp, MI 48317",48075 Van Dyke,,Shelby Twp,MI,48317,MICHIGAN,http://bit.ly/SOURCEbrandFB,@advisorsource,https://twitter.com/advisorsource,,W,W,JRC,"Shelby Twp, MI",small_red,42.6479141,-83.0332054
8,Akron News Reporter,http://www.akronnewsreporter.com/,"69 Main Ave., Akron, CO 80720",69 Main Ave.,,Akron,CO,80720,COLORADO,http://www.facebook.com/AkronNewsReporter,@AkronNewsReport,https://twitter.com/AkronNewsReport,,W,W,MNG,"Akron, CO",small_red,40.1587715,-103.212797
118,Berks-Mont News,http://Berksmontnews.com,"24 N. Hanover St., Pottstown, PA 19464",24 N. Hanover St.,,Pottstown,PA,19464,PENNSYLVANIA,http://bit.ly/Uu7BVn,@berksmontnews,https://twitter.com/berksmontnews,,W,W,JRC,"Pottstown, PA",small_red,40.2466464,-75.6500179
9,Broomfield Enterprise,http://www.broomfieldenterprise.com/,"3400 Industrial Lane, Suite 2, Broomfield, CO 80020",3400 Industrial Lane, Suite 2,Broomfield,CO,80020,COLORADO,http://www.facebook.com/BroomfieldEnterprise?fref=ts,@bfld_enterprise,https://twitter.com/bfld_enterprise,,W,W,MNG,"Broomfield, CO",small_red,39.9229621,-105.1080061
10,Brush News Tribune,http://www.brushnewstribune.com/,"109 Clayton St., Brush, CO 80723",109 Clayton St.,,Brush,CO,80723,COLORADO,http://www.facebook.com/BrushNewsTribune?fref=ts,@BrushNewsTrib,https://twitter.com/BrushNewsTrib,,W,W,MNG,,small_red,40.2546568,-103.6229744
87,CN Weekly (Community News),http://CNweekly.com,"20 Lake Avenue, Saratoga Springs, NY 12866",20 Lake Avenue,,Saratoga Springs,NY,12866,NEW YORK,www.facebook.com/CommunityNewsNY,@cnweekly,https://twitter.com/CNWeekly,,W,W,JRC,"Saratoga Springs, NY",small_red,43.0824382,-73.7836164
19,Colorado Hometown Weekly,http://www.coloradohometownweekly.com/,"3400 Industrial Lane, Suite 2, Broomfiield, CO 80020",3400 Industrial Lane, Suite 2,Broomfiield,CO,80020,COLORADO,http://www.facebook.com/coloradohometownweekly?fref=ts,@CoHoWeekly,https://twitter.com/CoHoWeekly,,W,W,MNG,,small_red,39.9229621,-105.1080061
117,Delaware County News Network,http://Delconewsnetwork.com,"1914 Parker Avenue, Holmes, PA 19043",1914 Parker Avenue,,Holmes,PA,19043,PENNSYLVANIA,http://www.facebook.com/pages/Holmes-PA/Delco-News-Network/341820350090,@DelcoNewsNet,https://twitter.com/DelcoNewsNet,,W,W,JRC,"Holmes, PA",small_red,39.8955881,-75.3139716
34,Dolphin News,http://Dolphin-news.com,"Naval Submarine Base, NLON PAO, New London, CT 06349",Naval Submarine Base, NLON PAO,New London,CT,6349,CONNECTICUT,http://www.facebook.com/pages/Dolphin-news/136348236420020,None,None,,W,W,JRC,"New London, CT",small_red,41.39468,-72.09343
74,El Latino Expreso,http://www.njexpreso.com/,"600 Perry Street, Trenton, NJ 08618",600 Perry Street,,Trenton,NJ,8618,NEW JERSEY,http://www.facebook.com/ElLatinoExpreso?fref=ts,,,,W,W,JRC,,small_red,40.2258229,-74.7543755
11,Estes Park Trail-Gazette,http://www.eptrail.com/,"251 Moraine Ave., Estes Park, CO 80517",251 Moraine Ave.,,Estes Park,CO,80517,COLORADO,http://www.facebook.com/eptrail?fref=ts,@EPTrailGazette,https://twitter.com/EPTrailGazette,,W,W,MNG,"Estes Park, CO",small_red,40.374029,-105.523881
38,Foothills Media Group,http://Foothillsmediagroup.com,"59 Field St., Torrington, CT 06790",59 Field St.,,Torrington,CT,6790,CONNECTICUT,https://www.facebook.com/#!/foothills.staff?fref=ts,@theavonnews @thecantonnews @thegranbynews @litchfieldweb @thesimsburynews @thomastonxpress,http://bit.ly/SspgMs,,W,W,JRC,"Torrington, CT",,41.807289,-73.126064
97,Fort Bragg Advocate News,http://www.advocate-news.com/,"450 North Franklin St., Fort Bragg, CA 95437",450 North Franklin St.,,Fort Bragg,CA,95437,NORCAL - Northern California,http://www.facebook.com/FortBraggAdvocateNews?fref=ts,@FBAdvocateNews,https://twitter.com/FBAdvocateNews,,W,W,MNG,"Fort Bragg, CA",small_red,39.446597,-123.804001
70,Grand Traverse Insider,http://www.morningstarpublishing.com/grand_traverse_insider/,"410 South Union Street, Traverse City, MI 49684",410 South Union Street,,Traverse City,MI,49684,MICHIGAN,http://bit.ly/GTIbrandFB,@TheGTInsider,https://twitter.com/TheGTInsider,,W,W,JRC,"Traverse City, MI",,44.7601106,-85.6238214
