ID,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,lat,lon
90,Enterprise-Record,http://www.chicoer.com/,"400 E. Park Ave., Chico, CA 95928",400 E. Park Ave.,,Chico,CA,95928,NORCAL - Northern California,http://www.facebook.com/chico.enterpriserecord?fref=ts,@ChicoER,https://twitter.com/ChicoER,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_ER.jpg,D,D,MNG,39.714761,-121.806928
91,Monterey County Herald,http://www.montereyherald.com/,"8 Upper Ragsdale Drive, Monterey, CA 93940",8 Upper Ragsdale Drive,,Monterey,CA,93940,NORCAL - Northern California,http://www.facebook.com/montereycountyherald?fref=ts,@MontereyHerald,https://twitter.com/MontereyHerald,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_MCH.jpg,D,D,MNG,36.579313,-121.814118
92,The Reporter,http://www.thereporter.com,"916 Cotting Lane, Vacaville, CA 95688",916 Cotting Lane,,Vacaville,CA,95688,NORCAL - Northern California,http://www.facebook.com/thereporter?fref=ts,@vacareporter,https://twitter.com/vacareporter,,D,D,MNG,38.396772,-121.954725
93,Times-Herald,http://www.timesheraldonline.com/,"440 Curtola Parkway, Vallejo CA 94590",440 Curtola Parkway,,Vallejo,CA,94590,NORCAL - Northern California,http://www.facebook.com/timesherald?fref=ts,@vjotimesherald,https://twitter.com/vjotimesherald,,D,D,MNG,38.097149,-122.25265
94,Times-Standard,http://www.times-standard.com/,"930 Sixth St., Eureka, CA 95501",930 Sixth St.,,Eureka,CA,95501,NORCAL - Northern California,http://www.facebook.com/TimesStandard?fref=ts,@eurekaTS,https://twitter.com/eurekaTS,,D,D,MNG,40.801738,-124.161038
95,Lake County Record-Bee,http://www.record-bee.com/,"2150 South Main St., Lakeport, CA 95453",2150 South Main St.,,Lakeport,CA,95453,NORCAL - Northern California,http://www.facebook.com/recordbee?fref=ts,@RecordBee,https://twitter.com/RecordBee,,D,D,MNG,39.02533,-122.915694
96,Daily Democrat,http://www.dailydemocrat.com/,"711 Main St., Woodland, CA 95695",711 Main St.,,Woodland,CA,95695,NORCAL - Northern California,http://www.facebook.com/dailydemocrat?ref=ts&fref=ts,@woodlandnews,https://twitter.com/woodlandnews,,D,D,MNG,38.677446,-121.771632
97,Fort Bragg Advocate News,http://www.advocate-news.com/,"450 North Franklin St., Fort Bragg, CA 95437",450 North Franklin St.,,Fort Bragg,CA,95437,NORCAL - Northern California,http://www.facebook.com/FortBraggAdvocateNews?fref=ts,@FBAdvocateNews,https://twitter.com/FBAdvocateNews,,W,W,MNG,39.44615,-123.804556
98,Mendocino Beacon,http://www.mendocinobeacon.com/,"450 North Franklin St., Fort Bragg, CA 95437",450 North Franklin St.,,Fort Bragg,CA,95437,NORCAL - Northern California,http://www.facebook.com/MendocinoBeacon?fref=ts,@MendocinoBeacon,https://twitter.com/MendocinoBeacon,,W,W,MNG,39.44615,-123.804556
99,Oroville Mercury-Register,http://www.orovillemr.com/,"2124 Fifth Ave., Oroville, CA 95965",2124 Fifth Ave.,,Oroville,CA,95965,NORCAL - Northern California,,@OrovilleMR,https://twitter.com/OrovilleMR,,W,W,MNG,39.503533,-121.564752
100,Paradise Post,http://www.paradisepost.com/,"5399 Clark Road, Paradise, CA 95969",5399 Clark Road,,Paradise,CA,95969,NORCAL - Northern California,http://www.facebook.com/ParadisePost?fref=ts,@ParadisePost,https://twitter.com/ParadisePost,,D,D,MNG,39.743818,-121.607677
101,Red Bluff Daily News,http://www.redbluffdailynews.com/,"545 Diamond Ave., Red Bluff, CA 96080",545 Diamond Ave.,,Red Bluff,CA,96080,NORCAL - Northern California,http://www.facebook.com/rbdailynews?fref=ts,@redbluffnews,https://twitter.com/redbluffnews,,D,D,MNG,40.16391,-122.226265
102,Redwood Times,http://www.redwoodtimes.com/,"442 Maple Lane, Garberville, CA 95542",442 Maple Lane,,Garberville,CA,95542,NORCAL - Northern California,,,,,D,D,MNG,40.100026,-123.793968
103,The Ukiah Daily Journal,http://www.ukiahdailyjournal.com/,"590 South School St., Ukiah, CA 95482",590 South School St.,,Ukiah,CA,95482,NORCAL - Northern California,http://www.facebook.com/pages/The-Ukiah-Daily-Journal/79374461327?ref=ts&fref=ts,@UDJnews,https://twitter.com/UDJnews,,D,D,MNG,39.145857,-123.20778
104,Willits News,http://www.willitsnews.com/,"77 West Commercial St., Willits, CA 95490",77 West Commercial St.,,Willits,CA,95490,NORCAL - Northern California,http://www.facebook.com/WillitsNews,@TheWillitsNews,https://twitter.com/TheWillitsNews,,,W,MNG,39.412383,-123.35573
105,News-Herald,http://news-herald.com,"7085 Mentor Avenue, Willoughby, OH 44094",7085 Mentor Avenue,,Willoughby,OH,44094,OHIO,http://www.facebook.com/pages/Willoughby-OH/The-News-Herald/87827393092,@newsheraldinoh,https://twitter.com/newsheraldinoh,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/OH_NH.jpg,D,D,JRC,41.647294,-81.387778
106,Morning Journal,http://Morningjournal.com,"1657 Broadway Ave., Lorain, OH 44052",1657 Broadway Ave.,,Lorain,OH,44052,OHIO,http://www.facebook.com/MorningJournal,@morningjournal,https://twitter.com/MorningJournal,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/OH_TMJ.jpg,D,D,JRC,41.455757,-82.166327
107,El Latino Expreso,http://www.lorainlatino.com/,"1657 Broadway Avenue, Lorain, OH 44052",1657 Broadway Avenue,,Lorain,OH,44052,OHIO,None,None,None,,O,W,JRC,41.455757,-82.166327
108,Daily Local News,http://Dailylocal.com,"250 North Bradford Avenue, West Chester, PA 19382",250 North Bradford Avenue,,West Chester,PA,19382,PENNSYLVANIA,http://www.facebook.com/dailylocalnews,@Wcdailylocal,https://twitter.com/wcdailylocal,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/PA_DLN.jpg,D,D,JRC,39.957946,-75.617529
109,The Mercury,http://Pottsmerc.com,"24 North Hanover Street, Pottstown, PA 19464",24 North Hanover Street,,Pottstown,PA,19464,PENNSYLVANIA,http://www.facebook.com/pottstown.mercury,@MercuryX,https://twitter.com/MercuryX,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/PA_MER.jpg,D,D,JRC,40.246397,-75.650244
110,Times Herald,http://Timesherald.com,"410 Markley Street, Norristown, PA 19401",410 Markley Street,,Norristown,PA,19401,PENNSYLVANIA,http://www.facebook.com/pages/Norristown-PA/The-Times-Herald/52255693644,@TimesHeraldPA,https://twitter.com/TimesHeraldPA,,D,D,JRC,40.118046,-75.347363
111,The Reporter,http://Thereporteronline.com,"307 Derstine Ave., Lansdale, PA 19446",307 Derstine Ave.,,Lansdale,PA,19446,PENNSYLVANIA,http://www.facebook.com/lansreporter,@lansreporter,https://twitter.com/LansReporter,,D,D,JRC,40.242408,-75.287551
112,Delaware County Daily Times,http://Delcotimes.com,"500 Mildred Ave., Primos PA 19018",500 Mildred Ave.,,Primos,PA,19018,PENNSYLVANIA,http://www.facebook.com/pages/Delaware-County-Daily-Times/146420865744,@delcotimes,https://twitter.com/delcotimes,,D,D,JRC,39.91923,-75.299093
113,Mainline Media News,http://Mainlinemedianews.com,"311 East Lancaster Ave., Ardmore, PA 19003",311 East Lancaster Ave.,,Ardmore,PA,19003,PENNSYLVANIA,http://www.facebook.com/pages/Main-Line-Media-News/271581712275,@MLmedianews,https://twitter.com/MLMediaNews,,W,W,JRC,40.00371,-75.282599
114,Montgomery News,http://Montgomerynews.com,"290 Commerce Dr., Fort Washington, PA 19034",290 Commerce Dr.,,Fort Washington,PA,19034,PENNSYLVANIA,http://www.facebook.com/MontgomeryMedia,@montgomerymedia,https://twitter.com/fyiMontco,,W,W,JRC,40.13596,-75.199216
115,The Phoenix,http://Phoenixvillenews.com,"24 N. Hanover Street, Pottstown, PA 19464",24 N. Hanover Street,,Pottstown,PA,19464,PENNSYLVANIA,https://www.facebook.com/phoenix.newspaper1,@PhxvilleNews,https://twitter.com/PhxvilleNews,,W,W,JRC,40.246397,-75.650244
116,The Advance of Bucks County (Bucks Local News),http://Buckslocalnews.com,"2100 Frost Rd., Bristol, PA 19007",2100 Frost Rd.,,Bristol,PA,19007,PENNSYLVANIA,http://www.facebook.com/pages/BucksLocalNewscom/196946321084,"@BucksLocalNews, @AdvanceofBucks",http://bit.ly/X5gNlA,,W,W,JRC,40.116586,-74.894571
117,Delaware County News Network,http://Delconewsnetwork.com,"1914 Parker Avenue, Holmes, PA 19043",1914 Parker Avenue,,Holmes,PA,19043,PENNSYLVANIA,http://www.facebook.com/pages/Holmes-PA/Delco-News-Network/341820350090,@DelcoNewsNet,https://twitter.com/DelcoNewsNet,,W,W,JRC,39.895285,-75.314505
118,Berks-Mont News,http://Berksmontnews.com,"24 N. Hanover St., Pottstown, PA 19464",24 N. Hanover St.,,Pottstown,PA,19464,PENNSYLVANIA,http://bit.ly/Uu7BVn,@berksmontnews,https://twitter.com/berksmontnews,,W,W,JRC,40.246397,-75.650244
119,Southern Chester County Weeklies,http://Southernchestercountyweeklies.com,"250 N. Bradford Ave., West Chester, PA 19382",250 N. Bradford Ave.,,West Chester,PA,19382,PENNSYLVANIA,,,,,W,W,JRC,39.957946,-75.617529
120,The York Dispatch,http://www.yorkdispatch.com/,"205 N. George St., York, PA 17401",205 N. George St.,,York,PA,17401,PENNSYLVANIA,https://www.facebook.com/YorkDispatch,@YorkDispatch,https://twitter.com/YorkDispatch,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/PA_YD.jpg,D,D,MNG,39.965371,-76.729258
121,Chambersburg Public Opinion,http://www.publicopiniononline.com/,"77 N. 3rd Street, Chambersburg, PA 17201",77 N. 3rd Street,,Chambersburg,PA,17201,PENNSYLVANIA,http://www.facebook.com/publicopinionnews?fref=ts,@PONews,https://twitter.com/PONews,,D,D,MNG,39.938697,-77.656738
122,York Daily Record,http://www.ydr.com/,"1891 Loucks Road, York, PA 17408",1891 Loucks Road,,York,PA,17408,PENNSYLVANIA,https://www.facebook.com/YorkDailyRecord,@ydrcom,https://twitter.com/ydrcom,,D,D,MNG,39.97265,-76.775259
123,The Evening Sun,http://www.eveningsun.com/,"135 Baltimore St., Hanover, PA 17331",135 Baltimore St.,,Hanover,PA,17331,PENNSYLVANIA,https://www.facebook.com/hanovereveningsun,@theeveningsun,https://twitter.com/theeveningsun,,D,D,MNG,39.799004,-76.981654
124,Lebanon Daily News,http://www.ldnews.com/,"718 Poplar St., Lebanon, PA 17042",718 Poplar St.,,Lebanon,PA,17042,PENNSYLVANIA,https://www.facebook.com/ldnews,@LDNews,https://twitter.com/LDNews,,D,D,MNG,40.331051,-76.422016
125,La Voz,http://www.lavozpa.com/,"410 Markley Street, Norristown, PA 19401",410 Markley Street,,Norristown,PA,19401,PENNSYLVANIA,,,,,O,W,JRC,40.118046,-75.347363
126,Breckenridge American,http://www.breckenridgeamerican.com,"114 East Elm Street, Breckenridge, TX 76424",114 East Elm Street,,Breckenridge,TX,76424,TEXAS,http://www.facebook.com/pages/The-Breckenridge-American/84370698416?fref=ts,,,,,W,MNG,32.756288,-98.902307
127,The Star Group,http://bit.ly/Ts2l0J,"319 Burleson Blvd., Burleson, TX 76028-0909",319 Burleson Blvd.,,Burleson,TX, 76028-0909,TEXAS,,,,,W,W,MNG,32.547707,-97.317246
128,El Paso Times,http://www.elpasotimes.com/,"300 N. Campbell St., El Paso, TX 79901",300 N. Campbell St.,,El Paso,TX,79901,TEXAS,http://www.facebook.com/eptimes,@elpasotimes,https://twitter.com/elpasotimes,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/TX_EPT.jpg,,D,MNG,31.761281,-106.485287
129,Somos Frontera,http://www.somosfrontera.com/,"300 N. Campbell St., El Paso, TX 79901",300 N. Campbell St.,,El Paso,TX,79901,TEXAS,http://www.facebook.com/somosfrontera,@somos_frontera,https://twitter.com/somos_frontera,,,W,MNG,31.761281,-106.485287
130,Lake Country Sun,http://www.lakecountrysun.com,"617 N. FM 2353, Ste. 3, Graford, TX 76449",617 N. FM 2353, Ste. 3,Graford,TX,76449,TEXAS,http://www.facebook.com/pages/Lake-Country-Sun/345382108938?ref=ts&fref=ts,@lakecountrysun,https://twitter.com/lakecountrysun,,,W,MNG,32.925593,-98.428247
131,The Graham Leader,http://www.grahamleader.com/,"620 Oak Street, Graham, TX 76450",620 Oak Street,,Graham,TX,76450,TEXAS,,@grahamleader,https://twitter.com/grahamleader,,,W,MNG,33.105564,-98.591287
132,Jacksboro Gazette-News,http://www.jacksboronewspapers.com/,"212 N. Church, Jacksboro, TX 76458",212 N. Church,,Jacksboro,TX,76458,TEXAS,,,,,,W,MNG,33.220881,-98.157496
133,The Olney Enterprise,http://www.olneyenterprise.com/,"213 E. Main St., Olney, TX 76374",213 E. Main St.,,Olney,TX,76374,TEXAS,http://www.facebook.com/pages/The-Olney-Enterprise/264762117786?fref=ts,,,,,W,MNG,33.370598,-98.752434
134,The Salt Lake Tribune,http://www.sltrib.com/,"90 S. 400 West, Suite 700, Salt Lake City, UT 84101",90 S. 400 West, Suite 700,Salt Lake City,UT,84101,UTAH,http://www.facebook.com/saltlaketribune?fref=ts,@sltrib,https://twitter.com/sltrib,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/UT_SLT.jpg,D,D,MNG,40.76755,-111.902653
135,The Park Record,http://www.parkrecord.com/,"1670 Bonanza Drive, Suite 202, Park City, UT 84060",1670 Bonanza Drive, Suite 202,Park City,UT,84060,UTAH,,@Parkrecord,https://twitter.com/Parkrecord,,W,W,MNG,40.662501,-111.500376
136,Bennington Banner,http://www.benningtonbanner.com,"425 Main Street, Bennington, VT 05201",425 Main Street,,Bennington,VT,5201,VERMONT,http://www.facebook.com/benningtonbanner,@banner_news,https://twitter.com/banner_news,,D,D,MNG,42.878213,-73.19633
137,Brattleboro Reformer,http://www.reformer.com/,"62 Black Mountain Road, Brattleboro, VT 05301-9242",62 Black Mountain Road,,Brattleboro,VT, 05301-9242,VERMONT,http://www.facebook.com/brattlebororeformer,@BrattReformer,https://twitter.com/BrattReformer,,D,D,MNG,42.881707,-72.560683
138,The Manchester Journal,http://www.manchesterjournal.com/,"51 Memorial Ave., Manchester Center, VT 05255",51 Memorial Ave.,,Manchester Center,VT,5255,VERMONT,http://www.facebook.com/manchesterjournal,@ManJourn,https://twitter.com/ManJourn,,W,W,MNG,43.178076,-73.054032
139,Charleston Daily Mail,http://dailymail.com/,"1001 Virginia St. E., Charleston, WV 25301-2835",1001 Virginia St. E.,,Charleston,WV, 25301-2835,WEST VIRGINIA,http://www.facebook.com/charlestondailymail?ref=ts&fref=ts,@charleywest,https://twitter.com/charleywest,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/WV_CDM.jpg,D,D,MNG,38.348017,-81.634413
