Id,Label,Alexa Rank,Location,Number of Out Links,Number of In Links,Weights of Out Links,Weights of In links,Diff Weights,Weights of Self links,PageRank
5168141,starfl.com,2417543,Florida,11,11,17446,19448,2002,73464,0.0004850655260014279
5168191,starhq.com,1151004,Tennessee,0,6,0,9,9,9723,6.56306356680665e-05
5186712,sunews.net,1378614,Utah,1,1,1,1,0,213,6.43485478304114e-05
5229281,tblnet.com,12056709,Wisconsin,0,2,0,4,4,73,6.438663407114309e-05
5231721,tcpalm.com,51291,Florida,67,58,47403,290,-47113,4025776,0.00013035506337714738
5252458,the570.com,284768,Pennsylvania,0,8,0,10287,10287,27,0.00034591930360901334
5254005,theday.com,81646,Connecticut,26,32,111,68,-43,1311738,6.8796384627762e-05
5255449,theind.com,616942,Louisiana,9,6,25,99,74,43628,6.614989254718779e-05
5257838,therip.com,2598315,California,0,3,0,3,3,1,6.460871944439107e-05
5275832,tmnews.com,238160,Indiana,0,5,0,8,8,113591,7.832451161583359e-05
5316574,tveyes.com,99758,Alexa Top 500,0,6,0,33,33,190,6.577596996390995e-05
5318011,tvweek.com,51668,Alexa Top 500,81,60,1302,17415,16113,347206,0.00013284172296790245
5353280,usnews.com,1224,Alexa Top 500,270,251,13138,7252,-5886,3012313,0.0009160048272847112
5355924,utulsa.edu,172897,Oklahoma,9,16,14,49,35,59344,9.186924591160388e-05
5367659,vbjusa.com,2110221,Washington,1,6,10,9,-1,9235,6.472519877698181e-05
5368869,vcstar.com,41844,Alexa Top 500,102,32,531,1204,673,6179083,0.00025947046015733057
5395377,vocero.com,784367,US Territories,0,8,0,11,11,3690,9.354030725219086e-05
5405074,vvoice.org,15409012,Vermont,0,1,0,1,1,3,6.43485478304114e-05
5412341,wandtv.com,247216,Illinois,14,4,18,2025,2007,51961,0.00015791895661666585
5417107,waynet.org,795497,Indiana,48,2,926,5,-921,31720,6.44654001761358e-05
5419566,wctrib.com,774707,Minnesota,4,15,7433,45,-7388,424023,0.0006689003737130994
5437013,whas11.com,44960,Kentucky,19,20,56,562,506,234953,8.425400789740559e-05
5446140,winona.edu,242059,Minnesota,1,6,1,9,8,1534,6.477853347636051e-05
5447828,wishtv.com,57022,Indiana,40,33,152,2184,2032,384159,0.00030521975785693597
5450339,wkyufm.org,1381286,Kentucky,3,1,181,1,-180,4846,6.435374509607873e-05
5452651,wnewsj.com,560117,Ohio,0,5,0,6,6,4,0.0001216322290145088
5453922,woi-tv.com,784868,Iowa,11,5,21,7,-14,28184,6.471175055747743e-05
5459177,wpnews.com,3466507,Nebraska,0,3,0,3,3,2,6.443170274426012e-05
5461597,wsiltv.com,275704,Illinois,0,1,0,1,1,4028,6.445073068501488e-05
5462996,wthitv.com,134510,Indiana,31,10,59,32,-27,248690,0.00010039440876013323
5474477,xavier.edu,171211,Ohio,42,14,127,31,-96,127856,6.496674935370572e-05
5515167,yourct.com,9788997,Connecticut,34,3,127,3,-124,15418,6.435821641122483e-05
5517812,ysnews.com,1601239,Ohio,1,6,2,8,6,125020,6.46960692255836e-05
5578092,11alive.com,14844,Georgia,93,27,4190,2661,-1529,158459,0.00039157763111408693
